Initize,Range,Exp,Avgpre,Avgpost
2300,12800,1000000,15.053385,14.276202
2400,12800,1000000,14.769521,14.431629
2500,12800,1000000,14.841155,13.674082
2600,12800,1000000,14.483616,13.89693
2700,12800,1000000,15.236324,14.165263
2800,12800,1000000,14.766454,13.888777
2900,12800,1000000,15.337539,14.502444
3000,12800,1000000,15.256436,14.263256
3100,12800,1000000,15.584158,14.535942
3200,12800,1000000,15.240376,14.246516
3300,12800,1000000,15.290645,14.223097
3400,12800,1000000,14.736564,13.611249
3500,12800,1000000,16.090832,14.979116
3600,12800,1000000,16.777778,16
3700,12800,1000000,15.898305,14.842308
3800,12800,1000000,16.222839,15.133235
3900,12800,1000000,16.40937,15.661054
4000,12800,1000000,15.975739,15.125526
4100,12800,1000000,16.192727,15.163561
4200,12800,1000000,16.296742,15.374237
4300,12800,1000000,15.921951,15.083836
4400,12800,1000000,16.228493,15.257665
4500,12800,1000000,15.373342,14.659425
4600,12800,1000000,16.2148,15.018012
4700,12800,1000000,15.648736,14.78253
4800,12800,1000000,17.061605,15.894985
4900,12800,1000000,16.348837,15.290398
5000,12800,1000000,16.121101,14.619355
5100,12800,1000000,16.818505,15.77412
5200,12800,1000000,17.539692,16.534934
5300,12800,1000000,17.931193,16.615676
5400,12800,1000000,17.368911,16.207676
5500,12800,1000000,16.371696,15.341502
5600,12800,1000000,15.728932,14.708139
5700,12800,1000000,16.325654,15.433686
5800,12800,1000000,17.250768,16.0235
5900,12800,1000000,16.542347,15.657627
6000,12800,1000000,17.481982,16.398068
6100,12800,1000000,17.168342,15.998565
6200,12800,1000000,17.240114,16.322233
6300,12800,1000000,17.022296,15.050639
6400,12800,1000000,17.694628,16.320797
6500,12800,1000000,16.442962,15.339142
6600,12800,1000000,15.912807,14.865848
6700,12800,1000000,15.847091,14.93071
6800,12800,1000000,16.290394,15.482509
6900,12800,1000000,17.549096,16.19268
7000,12800,1000000,18.140051,17.055008
7100,12800,1000000,17.258868,16.03134
7200,12800,1000000,18.033054,16.459992
7300,12800,1000000,16.649798,15.448759
7400,12800,1000000,17.378824,15.47447
7500,12800,1000000,16.651023,15.742188
7600,12800,1000000,17.586276,15.620902
7700,12800,1000000,17.964216,16.431087
7800,12800,1000000,17.484174,16.233898
7900,12800,1000000,17.376628,16.403118
8000,12800,1000000,17.220677,16.041589
8100,12800,1000000,17.062155,15.884022
8200,12800,1000000,17.439273,15.493175
8300,12800,1000000,17.646763,16.632807
8400,12800,1000000,18.140065,17.029909
8500,12800,1000000,18.907941,17.658069
8600,12800,1000000,17.414011,16.186858
8700,12800,1000000,18.069249,16.838623
8800,12800,1000000,18.067721,16.623914
8900,12800,1000000,18.599391,17.564612
9000,12800,1000000,17.515804,16.410526
9100,12800,1000000,18.695279,16.85872
9200,12800,1000000,17.545188,16.339234
9300,12800,1000000,18.781371,17.697285
9400,12800,1000000,18.29691,16.480781
9500,12800,1000000,17.562009,16.494688
9600,12800,1000000,17.467849,16.392989
9700,12800,1000000,17.689218,16.352352
9800,12800,1000000,17.388634,16.098193
9900,12800,1000000,17.1704,16.127883
10000,12800,1000000,17.420974,16.10637
10100,12800,1000000,19.152387,17.090432
10200,12800,1000000,18.760377,17.719719
10300,12800,1000000,16.761281,15.830475
10400,12800,1000000,18.77666,17.462132
10500,12800,1000000,20.094215,18.901575
10600,12800,1000000,17.941877,16.488671
10700,12800,1000000,18.372743,17.212677
10800,12800,1000000,18.561876,17.240308
10900,12800,1000000,18.543942,17.073417
11000,12800,1000000,17.895462,16.566376
11100,12800,1000000,18.515184,16.703433
11200,12800,1000000,18.122726,16.667021
11300,12800,1000000,19.280875,17.700689
11400,12800,1000000,18.390584,17.291569
11500,12800,1000000,18.026957,16.77227
11600,12800,1000000,17.945856,16.688838
11700,12800,1000000,18.440082,17.099975
11800,12800,1000000,18.441926,16.866466
11900,12800,1000000,19.753748,17.721624
12000,12800,1000000,18.236495,17.188595
12100,12800,1000000,18.099323,16.802723
12200,12800,1000000,17.254379,16.249211
12300,12800,1000000,17.238878,16.196107
12400,12800,1000000,19.686834,17.641564
12500,12800,1000000,19.299808,17.317593
12600,12800,1000000,18.196213,16.894192
12700,12800,1000000,18.224437,16.884444
